block_group,slide_group,routing_decision,raw_similarity,routing_uncertain,notes
set_03,set_40,shape_partial,0.09272455527313993,True,shape_partial penalty=0.5
set_03,set_41,shape,0.15148933296799408,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_42,constellation,0.45271320244560304,False,constellation L2 on 55-element signature
set_03,set_43,constellation,0.42126598724973424,False,constellation L2 on 55-element signature
set_03,set_44,shape_partial,0.08686299748001482,True,shape_partial penalty=0.5
set_03,set_45,shape,0.15223070076745118,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_46,constellation,0.16442819762991379,False,constellation L2 on 55-element signature
set_03,set_47,shape,0.15077365612983074,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_02,shape,0.12008372169772089,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_03,constellation,0.46374741725192836,False,constellation L2 on 55-element signature
set_04,set_04,shape,0.15184935658009596,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_05,shape,0.15147817593260798,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_06,shape_partial,0.07834196844559001,True,shape_partial penalty=0.5
set_04,set_07,shape,0.12644483682658608,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_08,shape,0.13092523714148707,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_09,shape,0.14940349317256987,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_10,constellation,0.4427280124107687,False,constellation L2 on 55-element signature
set_04,set_11,constellation,0.405037765163268,False,constellation L2 on 55-element signature
set_04,set_12,constellation,0.40451007652672716,False,constellation L2 on 55-element signature
set_04,set_13,constellation,0.48380128094098834,False,constellation L2 on 55-element signature
set_04,set_14,constellation,0.4823843832847983,False,constellation L2 on 55-element signature
set_04,set_15,shape,0.1447260366058746,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_16,shape_partial,0.09436477286457845,True,shape_partial penalty=0.5
set_04,set_17,constellation,0.23461878826314228,False,constellation L2 on 55-element signature
