,set_02,set_03,set_04,set_05,set_06,set_07,set_08,set_09,set_10,set_11,set_12,set_13,set_14,set_15,set_16,set_17,set_18,set_19,set_20,set_21,set_22,set_23,set_24,set_25,set_26,set_27,set_28,set_29,set_30,set_31,set_32,set_33,set_34,set_35,set_36,set_37,set_38,set_39,set_40,set_41,set_42,set_43,set_44,set_45,set_46,set_47
set_11,0.1688718244425555,0.4344388559534906,0.1723441696445283,0.17355688899569516,0.097854128984894,0.1445292313282304,0.1587233379176453,0.165359028293358,0.40497821440578846,0.38003300099916765,0.38022595262250547,0.452390342637859,0.44162027438539975,0.18962436698846777,0.1298969787447354,0.23127623869066163,0.15667818037283718,0.47293789110884504,0.1102708524434281,0.16815214688097394,0.14770077260381972,0.1877074714606462,0.07963156405713132,0.14235452268599194,0.4196262310514051,0.10147965642225756,0.18761080686882975,0.1777509684072373,0.1831764222679635,0.4185553731377171,0.16021603607942056,0.305324799581255,0.1696682206214013,0.17432412816491455,0.4249503378730907,0.22877430191471923,0.30435289809413235,0.41761010914963664,0.09327060272505129,0.20240151276466262,0.4758843576705819,0.44812548813773384,0.09424377515829077,0.18899532070060995,0.16506299658870022,0.2062481774168097
set_12,0.17126863888478136,0.41936192797023075,0.16588091071477182,0.17282240316302858,0.08844126918750764,0.15127541805105826,0.16888000518236798,0.1669537123939489,0.37513516070306535,0.3563416853433567,0.35623477038567114,0.40933060704325125,0.40158850215597475,0.18123017827388696,0.14393911975112836,0.22690282957167277,0.17411510423975346,0.42397700791396037,0.15109193340518542,0.18468303441610973,0.1471861237198708,0.16961707205058638,0.08087292643311578,0.13550471699549707,0.38651227367941215,0.1359124481644932,0.19679722944710107,0.15969048963091595,0.13408077956898265,0.3898443566519096,0.1593102173659542,0.29468950429214213,0.16205319320713335,0.17017880307003455,0.3889777997718665,0.22636567260873397,0.29563641423503395,0.400827287489104,0.11872826391139014,0.15940798093848624,0.4262933674255851,0.40627787072586136,0.11820874774944806,0.1818093497966689,0.16428855448375732,0.1875281129168055
set_13,0.17895396827586857,0.3745072639661564,0.1692230860954105,0.17228435059968633,0.088422740929377,0.13263351492469563,0.1426682092349622,0.16732039919487476,0.3327974932232674,0.30063724519595725,0.30024500038073876,0.8705309968877452,0.7890767338158908,0.16470810946932202,0.14441360531648179,0.21202419048399831,0.15423202688860707,0.8464946264189223,0.11441930991081253,0.1642508583426753,0.16208938460883693,0.18239492683269976,0.07575569261439767,0.19088941914840377,0.3474221290463893,0.11060463282714482,0.1809464449432288,0.15968012698103454,0.15827374967850927,0.3356588847757576,0.15339629832123372,0.269120096222186,0.16179803883850025,0.18683987515699887,0.36430495448271777,0.20988615641099626,0.26545264387981415,0.33456156045888746,0.1255033360211522,0.16570314897015592,0.7558174222815038,0.8351366295729326,0.13839030412836603,0.2009269546509924,0.15738106006076122,0.1774058430011083
set_14,0.16690946592835262,0.4538952030704866,0.17071975858828456,0.17332898796808252,0.08765242929311323,0.1550755938499077,0.17219437502787238,0.1684634226707449,0.4135812810781791,0.38617267815059825,0.3858379328249629,0.4522263777650142,0.4453711136357977,0.1707586798096767,0.15989653477346816,0.23219254297893516,0.17270513329290357,0.45959740041045277,0.1908833346733311,0.18337332658045527,0.15319212989310724,0.17667590849667075,0.07938174736130742,0.14202677337945327,0.43005613016503064,0.16058139439468516,0.1898802407415224,0.15525832861799688,0.13514280799363157,0.4225008176042017,0.16105006941639788,0.3096594046624807,0.16255488249918487,0.16925031076107325,0.43424131057001364,0.23096002877797434,0.3093898169317073,0.43404739564954986,0.13384965479513775,0.16803917962640993,0.4568874590342484,0.44964407573686227,0.13452104769642811,0.17833415203064668,0.16576513653917233,0.2040654369757084
set_15,0.17748603129376891,0.4614121580903662,0.1624879951237826,0.17031912971705226,0.09863279348565038,0.14716499252344495,0.15494242927888008,0.15553502154564172,0.42357320971371437,0.39318790770980805,0.3924551483232598,0.460812645393357,0.45568794999975365,0.160023560993027,0.24165283627568884,0.2331974308247279,0.16279514181522503,0.4619563303253424,0.13036055906077837,0.17421062116058908,0.1425464621092667,0.17502383080475897,0.07733774415656669,0.13372650564975727,0.44126439580779303,0.12440692700881664,0.19937142602326544,0.15575427918653806,0.14517195579398254,0.42800595448317785,0.16146930545238122,0.3133643480812454,0.15899528798024687,0.16087116973470084,0.4454833815749884,0.2319304345568392,0.31264341432816917,0.44180006209298034,0.11023651515267084,0.1675353948975922,0.4564527059544004,0.4589855921630915,0.1112531126364743,0.17436671121758662,0.16603595810520064,0.16823072293044272
set_16,0.15916673091057357,0.4486443002982567,0.1778388433189272,0.17561918165295082,0.11300724482695927,0.15371368668186308,0.16980715874946595,0.16768502952684627,0.4087333426404959,0.3825427039886334,0.3823049913909329,0.45075216866217166,0.4426095105020479,0.16782940398625018,0.1389203672414026,0.2316573697019931,0.1748324590329423,0.4624316873962602,0.15444115826279492,0.17916155356042068,0.15578279528048317,0.18354745677880055,0.0808823292824019,0.1519394882895278,0.4242573756729635,0.13455077027462153,0.19319420659129619,0.17435941583777093,0.1484084577433882,0.41983740967637445,0.16075104131994114,0.30764068438252445,0.1680826909321344,0.17210753735445403,0.428569932754462,0.230225072731057,0.30735921893056317,0.42879396144660487,0.11816542061785305,0.18015227696342803,0.46155376458345587,0.44761635956020374,0.11878300608778483,0.1860921561379611,0.16553682116155657,0.2034303487359494
set_17,0.1596660262707616,0.43601837982672226,0.16491782626602977,0.1740455730043416,0.100856362920246,0.13287174876895924,0.14865373271843826,0.1584892242826099,0.39172543358858664,0.3695278326150572,0.3693740168900897,0.427339528344163,0.41994289370210325,0.1786496475346394,0.09709184893180321,0.22939415944923722,0.14647387084513494,0.4391059562786046,0.08629417466735512,0.15551688483846796,0.1387943942877696,0.15976898595468914,0.07279358449046128,0.1295217934682468,0.4052724334866799,0.08949074915274915,0.17545775131426133,0.16209981920527336,0.14358830235139575,0.4045011075396723,0.1601712369810099,0.3015512529607544,0.16776887954271666,0.1743636503208453,0.4083751970986354,0.2286623764194604,0.30212038394348945,0.4164936593985587,0.09213321858679707,0.1614808878771954,0.4393785431426515,0.42447002793476585,0.08854745680623047,0.1777336445049469,0.16504529416728916,0.22283346861159345
set_18,0.18200957291397005,0.42540613285784173,0.16211792192456562,0.17106377950688204,0.09037123299194386,0.1623977228337381,0.1688468006677341,0.15687725951417425,0.3827465024558737,0.36268194149461674,0.3626221088527119,0.42075396211497523,0.41186022778474074,0.15614390777708465,0.16792670683906832,0.22820782955685506,0.17541858225145004,0.4382752574210906,0.2085691769818458,0.1899001078384572,0.15525170458904416,0.18006062143019363,0.07851656801374066,0.1398020918655136,0.39477291262301256,0.17514329819012384,0.19342985738729015,0.15779945550873198,0.14885537881239713,0.3983288032061582,0.1595724023683861,0.29759746819989225,0.1619477121531671,0.16128289336228957,0.3977064839611108,0.22717267366674307,0.2981421134400211,0.4067733161842549,0.13675545408496856,0.164540712528151,0.4414344718227119,0.41722863049692244,0.13889772900630779,0.16608371419833914,0.1645645566307301,0.1651464512662461
set_19,0.1762486108915771,0.43481790498413014,0.16587207404382112,0.1736549913363417,0.0981260578575749,0.15176482503833302,0.1624665678139799,0.15994676595841328,0.3936248804824748,0.3711482139018078,0.3709011066578062,0.4355142753583911,0.42620639630128443,0.17452346615460373,0.30860136006044986,0.22977978072858973,0.16532049647725922,0.4529017661110883,0.13816654556606636,0.17861243911266575,0.14908219849847618,0.17557358971375037,0.07738129568605494,0.13768347849803833,0.4065682040440659,0.12868984681484189,0.20528834575364774,0.15590758377660968,0.14841107925012248,0.40812541795948865,0.16002343970035524,0.30186247849497333,0.1621356428835583,0.16501350365934359,0.409933975037875,0.22837487986217958,0.3018794170656082,0.4157114936155527,0.11190332243880952,0.17303844179192407,0.45529614060246887,0.4318418966249516,0.11278358499950523,0.18716404115941124,0.16494316572413212,0.18059628245465084
set_20,0.12256312725311139,0.4161974948260924,0.10836493558225592,0.1192436311841366,0.10331328186823838,0.1467617796974062,0.15619825968092646,0.15445021616902366,0.44751001529300183,0.4300917871530381,0.43129285508679277,0.28677099544705803,0.287856874488881,0.17110721673842647,0.08394317299497685,0.3641080817744057,0.15637393859533574,0.2814894561377573,0.07766485018836433,0.1605754748468917,0.14292146437637782,0.12746758086562646,0.08935935848774636,0.146953664924151,0.4480230959043751,0.08386316644190767,0.180671178656795,0.1579746080307697,0.1538345082400754,0.433677036314428,0.20193634157591778,0.6918099158126081,0.1302357259429123,0.10510196193474615,0.44140088362935087,0.3586025604801451,0.6739257023770236,0.439199128801079,0.0839444280728805,0.1538002487178158,0.2783157115215004,0.28727170477692215,0.08338792260154694,0.16636718650853474,0.2068207609815874,0.16617968988163456
set_21,0.1531089787877111,0.43529793131025146,0.1769932654396436,0.16723431834958863,0.09730229360114465,0.14719550531718922,0.1601965912388142,0.15797567016775288,0.406033938368277,0.3806585424983377,0.38043494545070805,0.45347477851205364,0.44312362174615716,0.1618012204978655,0.21727810263101552,0.23136503795182967,0.16035778897780562,0.4723776285738254,0.1275364164329137,0.16947569528892384,0.1487878055366631,0.20039378540951377,0.0778586072629153,0.15700632333915324,0.4200340220012535,0.1201356208396705,0.18548428771847733,0.15654168648281974,0.1537184597052661,0.4183008689372529,0.16026328314697005,0.30591112871892073,0.15966207197589968,0.19492822070412813,0.42472046792311785,0.22884549541374652,0.30469643231283755,0.4186642850648008,0.15634546066257407,0.18474863621048684,0.47450607075678974,0.4493942985122807,0.1610413607309389,0.17643118259691776,0.16505537296958686,0.17985246426457868
set_22,0.1618616785967564,0.4503918646389132,0.17191765185206345,0.1703455219868835,0.0909423045892574,0.14925356632877265,0.16294022125166993,0.1613097418693534,0.42029453273676237,0.3904900402875039,0.38989740501215986,0.4683848573279109,0.4604416788039623,0.17071263704516146,0.1252775496810999,0.23283071456261162,0.1635837362691713,0.47724587541037816,0.13995387187134972,0.17170904161541542,0.14954493823447026,0.1873048896719067,0.07926961541414966,0.14706150476623236,0.43657960355811226,0.1209693514671109,0.18669483592564162,0.16652770828689967,0.14466082021192525,0.42708968063168395,0.16098852165564342,0.3113429032126405,0.16529121801932053,0.18313712313655736,0.4419751818840454,0.23062506148143533,0.30990298413818784,0.43194732546899983,0.1123635899871929,0.1758588723051287,0.4742773388322509,0.46538020800067786,0.11182803691214435,0.17925548978335218,0.16560224322712655,0.1909428023297477
set_23,0.17126863888478136,0.41936192797023075,0.16588091071477182,0.17282240316302858,0.08844126918750764,0.15127541805105826,0.16888000518236798,0.1669537123939489,0.37513516070306535,0.3563416853433567,0.35623477038567114,0.40933060704325125,0.40158850215597475,0.18123017827388696,0.14393911975112836,0.22690282957167277,0.17411510423975346,0.42397700791396037,0.15109193340518542,0.18468303441610973,0.1471861237198708,0.16961707205058638,0.08087292643311578,0.13550471699549707,0.38651227367941215,0.1359124481644932,0.19679722944710107,0.15969048963091595,0.13408077956898265,0.3898443566519096,0.1593102173659542,0.29468950429214213,0.16205319320713335,0.17017880307003455,0.3889777997718665,0.22636567260873397,0.29563641423503395,0.400827287489104,0.11872826391139014,0.15940798093848624,0.4262933674255851,0.40627787072586136,0.11820874774944806,0.1818093497966689,0.16428855448375732,0.1875281129168055
set_24,0.1688718244425555,0.4344388559534906,0.1723441696445283,0.17355688899569516,0.097854128984894,0.1445292313282304,0.1587233379176453,0.165359028293358,0.40497821440578846,0.38003300099916765,0.38022595262250547,0.452390342637859,0.44162027438539975,0.18962436698846777,0.1298969787447354,0.23127623869066163,0.15667818037283718,0.47293789110884504,0.1102708524434281,0.16815214688097394,0.14770077260381972,0.1877074714606462,0.07963156405713132,0.14235452268599194,0.4196262310514051,0.10147965642225756,0.18761080686882975,0.1777509684072373,0.1831764222679635,0.4185553731377171,0.16021603607942056,0.305324799581255,0.1696682206214013,0.17432412816491455,0.4249503378730907,0.22877430191471923,0.30435289809413235,0.41761010914963664,0.09327060272505129,0.20240151276466262,0.4758843576705819,0.44812548813773384,0.09424377515829077,0.18899532070060995,0.16506299658870022,0.2062481774168097
set_25,0.1697751144138443,0.42626167042181273,0.1695227542350052,0.17363307784882906,0.09286649868384877,0.14532598706621586,0.15005350922520322,0.16657478905814313,0.39107027027538516,0.3695097428205013,0.36953564083141277,0.4361413881574964,0.42504065479162795,0.15534360959437332,0.17648195356026428,0.22953558520950407,0.16174669256906887,0.4599576291857008,0.14197660644791307,0.16834967128707481,0.14151427316373427,0.1765774212471077,0.07111494744595583,0.13982671898740234,0.40346130686725934,0.1240715860615699,0.20014358981238284,0.1545363570429833,0.13745498133607215,0.4075972053981464,0.15964916752801347,0.30026657039091825,0.15805851124566014,0.16227069614920922,0.40732254883195873,0.22741831175483854,0.2998727352419842,0.409022107384638,0.1174628492787521,0.1684655200937043,0.4653847811627613,0.43169369055352486,0.11873281544078881,0.17302770082556515,0.164633088068191,0.1813363248243978
set_26,0.19066347960111252,0.3756746401436733,0.16438596733963656,0.170391918908754,0.1122644139325192,0.1322890084968186,0.14005053450146715,0.14354379379109874,0.3341448096896694,0.3014700603107355,0.30104185348754636,0.9182286596778996,0.8280661079129488,0.15009299936668283,0.20140105947006648,0.21218468934471604,0.1513146244086791,0.8057931831027181,0.14236684647974526,0.15358381602244783,0.15593286795791622,0.1845028531807121,0.06969613002134413,0.1882997581242618,0.3490495323289387,0.1294224573515238,0.22345430516512876,0.1679175215225903,0.1664465072795454,0.3360752879495214,0.1534992025246088,0.26981812467600236,0.16287067604586128,0.15982149072563764,0.3661782916153703,0.2101181721077612,0.2660917146687983,0.33552430203290895,0.10839204069909945,0.18202322685817315,0.7232008842440626,0.8789369481642043,0.11274085351941156,0.16094535426629253,0.15743396928883427,0.16989190387877046
set_27,0.18295249706265093,0.4375793085974034,0.1623268778242487,0.1766076179324427,0.11137677547347777,0.15192073176033474,0.15688779172650016,0.16320504829399637,0.39656896124858804,0.37338024763705513,0.3730438141127004,0.4387642986310056,0.4296296979950833,0.15893710313064902,0.1291884155223002,0.2301650613484146,0.16898767506124368,0.4551797368571592,0.21200528403320515,0.17575065684109092,0.14305155757787832,0.19050343236977485,0.07673749184395873,0.14947858853303136,0.40978199893733286,0.14742094897603195,0.18949932648195708,0.16269816462800507,0.1410923107244657,0.4103721127209204,0.1601647346327697,0.30305140705388445,0.1632769313758376,0.1671412142877273,0.4131709555893443,0.22873234294067316,0.3029531872498443,0.41835729184143267,0.15963349318375175,0.17271292470325153,0.4569693187949564,0.4351739614057983,0.17536251955183865,0.17064662650299212,0.16505248594628585,0.18198128854624263
